Period,ReporterISO,PartnerISO
2013,POL,TUR
2013,POL,UKR
2013,POL,GBR
2013,POL,USA
2013,PRT,AGO
2013,PRT,BEL
2013,PRT,BRA
2013,PRT,CHN
2013,PRT,DEU
2013,PRT,HKG
2013,PRT,MEX
2013,PRT,ESP
2013,ROU,CHN
2013,ROU,DEU
2013,ROU,HUN
2013,ROU,ITA
2013,ROU,MDA
2013,ROU,SVK
2013,ROU,CHE
2013,RUS,BLR
2013,RUS,CHN
2013,RUS,CZE
2013,RUS,HKG
2013,RUS,KOR
2013,RUS,LTU
2013,RUS,TWN
2013,RUS,IND
2013,RUS,UKR
2013,SAU,BHR
2013,SAU,FRA
2013,SAU,USA
2013,IND,BRA
2013,IND,CHN
2013,IND,FRA
2013,IND,DEU
2013,IND,HKG
2013,IND,JPN
2013,IND,TWN
2013,IND,SGP
2013,IND,THA
2013,IND,USA
2013,SGP,DZA
2013,SGP,AUS
2013,SGP,AUT
2013,SGP,BGD
2013,SGP,BEL
2013,SGP,BRA
2013,SGP,MMR
2013,SGP,CAN
2013,SGP,LKA
2013,SGP,CHN
2013,SGP,COL
2013,SGP,CZE
2013,SGP,DNK
2013,SGP,EST
2013,SGP,FIN
2013,SGP,FRA
2013,SGP,DEU
2013,SGP,HKG
2013,SGP,HUN
2013,SGP,IDN
2013,SGP,IRN
2013,SGP,IRL
2013,SGP,ISR
2013,SGP,ITA
2013,SGP,JPN
2013,SGP,KEN
2013,SGP,KOR
2013,SGP,LBN
2013,SGP,LVA
2013,SGP,LTU
2013,SGP,MYS
2013,SGP,MLT
2013,SGP,MEX
2013,SGP,TWN
2013,SGP,MAR
2013,SGP,NAM
2013,SGP,NLD
2013,SGP,NZL
2013,SGP,NOR
2013,SGP,PAK
2013,SGP,PHL
2013,SGP,POL
2013,SGP,PRT
2013,SGP,ROU
2013,SGP,RUS
2013,SGP,SAU
2013,SGP,IND
2013,SGP,SVK
2013,SGP,VNM
2013,SGP,ZAF
2013,SGP,ESP
2013,SGP,SWE
2013,SGP,CHE
2013,SGP,THA
2013,SGP,ARE
2013,SGP,TUN
2013,SGP,TUR
2013,SGP,TCA
2013,SGP,UKR
2013,SGP,EGY
2013,SGP,GBR
2013,SGP,USA
2013,SVK,AUT
2013,SVK,BEL
2013,SVK,BGR
2013,SVK,CHN
2013,SVK,CZE
2013,SVK,DEU
2013,SVK,HUN
2013,SVK,KOR
2013,SVK,LVA
2013,SVK,LTU
2013,SVK,NLD
2013,SVK,POL
2013,SVK,SRB
2013,SVK,GBR
2013,SVK,USA
2013,VNM,BEL
2013,VNM,CHN
2013,VNM,DEU
2013,VNM,HKG
2013,VNM,IDN
2013,VNM,JPN
2013,VNM,KOR
2013,VNM,MYS
2013,VNM,TWN
2013,VNM,NLD
2013,VNM,PHL
2013,VNM,SGP
2013,VNM,CHE
2013,VNM,THA
2013,VNM,USA
2013,SVN,HRV
2013,SVN,SRB
2013,SVN,GBR
2013,ZAF,DEU
2013,ZAF,NAM
2013,ZAF,USA
2013,ESP,AND
2013,ESP,ARG
2013,ESP,BEL
2013,ESP,BRA
2013,ESP,CHN
2013,ESP,CUB
2013,ESP,FRA
2013,ESP,DEU
2013,ESP,GIB
2013,ESP,HKG
2013,ESP,HUN
2013,ESP,ITA
2013,ESP,KOR
2013,ESP,MAR
2013,ESP,NLD
2013,ESP,POL
2013,ESP,PRT
2013,ESP,CHE
2013,ESP,TUR
2013,ESP,GBR
2013,ESP,USA
2013,SWE,AUS
2013,SWE,AUT
2013,SWE,BEL
2013,SWE,BRA
2013,SWE,CHN
2013,SWE,DNK
2013,SWE,EST
2013,SWE,FIN
2013,SWE,FRA
2013,SWE,DEU
2013,SWE,HKG
2013,SWE,ITA
2013,SWE,KOR
2013,SWE,MYS
2013,SWE,MEX
2013,SWE,NLD
2013,SWE,NZL
2013,SWE,NOR
2013,SWE,POL
2013,SWE,RUS
2013,SWE,IND
2013,SWE,SVK
2013,SWE,CHE
2013,SWE,THA
2013,SWE,GBR
2013,SWE,USA
2013,CHE,AUS
2013,CHE,AUT
2013,CHE,BEL
2013,CHE,BGR
2013,CHE,LKA
2013,CHE,CHN
2013,CHE,CZE
2013,CHE,DNK
2013,CHE,EST
2013,CHE,FIN
2013,CHE,FRA
2013,CHE,DEU
2013,CHE,HKG
2013,CHE,HUN
2013,CHE,ITA
2013,CHE,JPN
2013,CHE,KOR
2013,CHE,MYS
2013,CHE,TWN
2013,CHE,MDA
2013,CHE,MAR
2013,CHE,NLD
2013,CHE,NOR
2013,CHE,PHL
2013,CHE,POL
2013,CHE,ROU
2013,CHE,RUS
2013,CHE,IND
2013,CHE,SGP
2013,CHE,SVK
2013,CHE,VNM
2013,CHE,ESP
2013,CHE,SWE
2013,CHE,THA
2013,CHE,GBR
2013,CHE,USA
2013,THA,ARG
2013,THA,AUS
2013,THA,BEL
2013,THA,BRA
2013,THA,CAN
2013,THA,CHN
2013,THA,CZE
2013,THA,DNK
2013,THA,EST
2013,THA,FRA
2013,THA,DEU
2013,THA,HKG
2013,THA,HUN
2013,THA,IDN
2013,THA,IRL
2013,THA,ISR
2013,THA,ITA
2013,THA,JPN
2013,THA,KOR
2013,THA,MYS
2013,THA,MEX
2013,THA,TWN
2013,THA,NLD
2013,THA,PHL
2013,THA,IND
