Period,TPU,GPR,DMGSRMRCHSACD,IPTOTSAKD,IMPCOV,NEER,REER,RETSALESSA,TOTRESV,UNEMPSA_,GEPU
2013-11-01,26.026085915998564,77.77902221679688,2309766.91065973,1493848693537.97,5.35345727873,98.58258491686,99.21267804453,103.57070122006,12365238.4800395,7.63211173824,96.36248097666912
2013-12-01,21.482277121374864,70.37248992919922,2410779.67727695,1493313976274.4,5.14369737028,98.48822848952,99.16245159304,103.62004392617,12400321.086338,7.56237757729,119.33505490755348
2014-01-01,23.00868880748388,77.91596984863281,2475526.50114596,1499792476504.16,5.01500288917,98.69220883625,99.50513903568,102.88140757753,12414772.5554715,7.56199854545,111.04320492032046
2014-02-01,26.79938744257274,69.00352478027344,2662204.87260085,1505410877335.73,4.69718230852,98.64299194371,99.42798911837,102.84112976685,12504861.6292273,7.56387083597,98.2136098908705
2014-03-01,27.133125505137972,119.83855438232422,2454845.72188739,1510591521402.71,5.1207812687,98.61329515401,99.20485266301,103.57729766003,12570727.9901813,7.55658871757,113.565446812965
2014-04-01,24.473668691395883,93.22154235839844,2557717.59648529,1514078180145.82,4.93667052257,98.56817007137,99.21613900881,104.60058914463,12626609.0636214,7.44586069426,101.69477751370684
2014-05-01,16.783803629497534,83.4288558959961,2430874.01116848,1514517305447.84,5.2062693281,98.527461901,99.2464646698,104.47049606591,12655784.8048279,7.44148083383,104.18299204720743
2014-06-01,27.614024201054914,98.76710510253906,2447849.25324194,1514761002410.54,5.19565709505,98.59060464846,99.34043483345,104.89066080473,12718185.3402314,7.40844282351,86.67605830985062
2014-07-01,20.208604954367665,138.7539520263672,2404012.07067788,1522709659920.78,5.26561451805,98.56917699561,99.53524297839,101.94789301589,12658600.8609359,7.41529621368,93.1779134257756
2014-08-01,22.245147978593074,136.44558715820312,2485644.02424639,1513839189680.02,5.09214731977,98.68790291759,99.62204317524,102.98239503385,12657265.5559707,7.39657639748,99.63214416784592
2014-09-01,19.87130961392884,131.55665588378906,2553341.46078348,1531094117475.72,4.87576042915,98.85453097929,99.802129644,102.78369387317,12449481.2565882,7.3499543646,123.56237086842728
2014-10-01,21.015148419485712,83.66100311279297,2420765.35049112,1529979179539.0,5.11011836601,99.05055906473,99.97616512545,97.21187621051,12370397.47734,7.31218537674,119.27351805394056
2014-11-01,25.030099486724538,84.38005065917969,2362371.38503251,1534910404778.61,5.22260099514,99.30346322045,100.202143913,97.4359172775,12337723.1463613,7.31101024176,114.05978227101372
2014-12-01,28.699306433427857,86.5262222290039,2377011.39532174,1542620004708.12,5.14500480253,99.58845053237,100.44952008706,97.94846493568,12229735.0445897,7.21498844132,111.55866266278996
2015-01-01,26.612767390938185,111.9856948852539,2340259.97989481,1537636193455.86,5.20758010207,100.14661976767,101.08573039424,90.5015128837,12187091.3049752,7.25712461524,136.205034256515
2015-02-01,25.19270539575108,111.92469787597656,2347820.35316616,1537497757346.48,5.18513024396,100.4015494603,101.29706788795,90.70902581622,12173754.3205912,7.27862246273,113.05868381630896
2015-03-01,20.873133800325476,104.23526763916016,2401208.96178165,1537522614694.98,5.01572483711,100.77536216669,101.70036932234,91.11428200139,12043803.4287101,7.24143129706,103.92467585620318
2015-04-01,21.36752136752137,102.19049072265625,2271583.91210977,1540597883369.0,5.35406999284,100.66197019904,101.53989436104,89.99136073709,12162219.260038,7.25263076199,102.12178171778548
2015-05-01,43.439846856133116,76.2623291015625,2235881.57801216,1539839162564.83,5.40899793191,100.44355434501,101.41136712989,90.18798894003,12093878.8314735,7.26155934383,106.3830544325417
2015-06-01,44.50311144635112,85.90596771240234,2311760.30964433,1545889919279.29,5.22625194279,100.57945086123,101.50266004684,90.24056519443,12081841.8095406,7.23048152862,117.33795904960716
2015-07-01,26.47870515402402,106.80866241455078,2312461.99768003,1549649141739.39,5.17843786221,100.96196480959,102.00405593467,89.01072583147,11974940.7637178,7.22193158525,128.47496729939172
2015-08-01,35.422343324250676,82.47853088378906,2314824.38866952,1549075589056.39,5.12864095378,101.32876096633,102.27270173255,89.2076871645,11871903.1605382,7.20488851043,131.11511068901945
2015-09-01,29.24724893064746,98.7674560546875,2292061.65460048,1556996489463.97,5.15909839094,101.47446629886,102.27700183121,89.55868757431,11824971.5941798,7.19491569092,174.36147828455628
2015-10-01,53.25218714340053,91.931884765625,2364423.56848477,1558144588183.24,4.99838289193,101.23799950841,102.11653445994,88.09971032349,11818294.3140019,7.18678217337,125.1914003126364
2015-11-01,30.720786452133176,150.71588134765625,2254495.45256547,1555285570296.26,5.15582568346,101.69547345041,102.76358131832,87.46502252735,11623785.5575764,7.2178707289,101.82186516296623
2015-12-01,31.821492926427176,148.23687744140625,2246286.71343461,1553077606890.22,5.14078173161,101.75838869088,102.62482991514,88.59939306569,11547669.7003788,7.2278268483,113.06931612281844
2016-01-01,36.03343903142116,118.21114349365234,2082612.58230385,1564668256654.02,5.48556860742,102.13355113925,103.02404265037,88.20695933095,11424314.2028974,7.20618797665,149.5674756031764
2016-02-01,32.20794967981509,103.74964904785156,2186781.45124325,1566268179925.13,5.22814446488,101.8811449535,102.53323243402,88.58010466403,11432809.3402241,7.23940105007,155.86606876397724
2016-03-01,54.3267365153279,109.72029113769531,2185841.96974361,1562314007659.56,5.2894384871,101.40661379601,102.00077174701,88.28322830486,11561876.6414754,7.32801615443,166.25536035118375
2016-04-01,46.85040811097691,85.22145080566406,2381414.86006089,1570375610990.02,4.88072553616,100.93026490871,101.70049208308,91.15871202443,11623032.3196871,7.31809631514,144.61639638415272
2016-05-01,57.42132900154887,88.3324203491211,2151299.51847289,1566351906892.88,5.37685254219,101.25257752071,102.20242175006,91.38963196732,11567220.2849188,7.28839831917,132.83291982043104
2016-06-01,74.69130472325361,90.16812896728516,2235015.37399272,1576615922221.1,5.20047371813,101.33737851653,102.27314342257,91.54140841189,11623138.7120616,7.32280592706,243.3182821961318
2016-07-01,46.107946840249525,114.6104507446289,2071758.92789349,1574855448785.2,5.61892444399,101.24242722012,102.19333577868,91.48822459373,11641056.8819873,7.29780140134,236.20460645224816
2016-08-01,43.67019509184981,98.73848724365234,2165144.44424812,1580788386548.06,5.37555895252,100.97955484535,101.87452650914,91.51460473904,11638861.6007833,7.3119223512,143.84678374477855
2016-09-01,44.24597484534393,104.54522705078125,2185275.96467887,1583303728405.98,5.32703813782,101.159924459,101.99837673757,91.54178201706,11641048.4054978,7.32033233744,149.05129895510643
2016-10-01,50.46019699660908,85.74778747558594,2150445.55141233,1589819849040.58,5.36592882315,101.37308411383,102.23115284363,89.3056534823,11539137.7669441,7.31184679459,134.16655520011636
2016-11-01,111.29687126821113,82.91875457763672,2343652.64078313,1600984549505.74,4.85708535797,101.88217533161,102.80666323208,89.10913927682,11383320.9257214,7.27620639504,251.39847710479415
